id,product_name,category,original_price,sale_price,image_url,affiliate_link,sold_count,tier,description,shop_name
prod_001,Áo thun cotton nam,thoi-trang,150000,89000,https://via.placeholder.com/300?text=Ao+Thun+Nam,https://shopee.vn/product/001,5230,n1,Áo thun 100% cotton thoáng mát,Fashion Pro
prod_002,Quần jean nữ cao cấp,thoi-trang,350000,199000,https://via.placeholder.com/300?text=Quan+Jean+Nu,https://shopee.vn/product/002,3150,n1,Quần jean dễ phối đúp màu sắc,Fashion Pro
prod_003,Kem dưỡng da mặt,my-pham,320000,179000,https://via.placeholder.com/300?text=Kem+Duong,https://shopee.vn/product/003,8920,n1,Kem dưỡng da chống lão hóa,My Pham Viet
prod_004,Serum dưỡng trắng,my-pham,280000,159000,https://via.placeholder.com/300?text=Serum+Trang,https://shopee.vn/product/004,6780,n1,Serum trắng da công thức Nhật,My Pham Viet
prod_005,Điện thoại Android,dien-tu,8000000,5999000,https://via.placeholder.com/300?text=Dien+Thoai,https://shopee.vn/product/005,2145,n1,Điện thoại Android mới nhất 2026,Electronics World
prod_006,Laptop ASUS,dien-tu,15000000,9999000,https://via.placeholder.com/300?text=Laptop+ASUS,https://shopee.vn/product/006,892,n1,Laptop ASUS gaming hiệu năng cao,Electronics World
prod_007,Tủ lạnh LG,nha-cua,12000000,7999000,https://via.placeholder.com/300?text=Tu+Lanh,https://shopee.vn/product/007,567,n1,Tủ lạnh inverter tiết kiệm điện,Home Living Store
prod_008,Bộ sofa nhập khẩu,nha-cua,8500000,4999000,https://via.placeholder.com/300?text=Sofa+Nhap,https://shopee.vn/product/008,234,n1,Sofa cao cấp kiểu dáng hiện đại,Home Living Store
prod_009,Vitamin C 1000mg,suc-khoe,280000,149000,https://via.placeholder.com/300?text=Vitamin+C,https://shopee.vn/product/009,12450,n1,Vitamin C cung cấp miễn dịch,Suc Khoe Plus
prod_010,Omega 3 dầu cá,suc-khoe,450000,249000,https://via.placeholder.com/300?text=Omega+3,https://shopee.vn/product/010,8930,n1,Omega 3 chính hãng bảo vệ tim,Suc Khoe Plus
prod_011,Giày thể thao Nike,the-thao,2500000,1499000,https://via.placeholder.com/300?text=Giay+Nike,https://shopee.vn/product/011,4210,n2,Giày Nike chính hãng,Sports Gear Store
prod_012,Mũ bóng chày,the-thao,280000,129000,https://via.placeholder.com/300?text=Mu+Bong,https://shopee.vn/product/012,2856,n2,Mũ bóng chày thươnggiá,Sports Gear Store
prod_013,Bỉm tã quần Huggies,me-be,650000,379000,https://via.placeholder.com/300?text=Bim+Huggies,https://shopee.vn/product/013,15680,n1,Bỉm tã quần cao cấp,Baby Care Shop
prod_014,Sữa công thức Similac,me-be,580000,349000,https://via.placeholder.com/300?text=Sua+Similac,https://shopee.vn/product/014,12340,n1,Sữa công thức dinh dưỡng,Baby Care Shop
prod_015,Gạo lứt hữu cơ,do-an,180000,99000,https://via.placeholder.com/300?text=Gao+Lut,https://shopee.vn/product/015,8920,n1,Gạo lứt hữu cơ sạch,Food Master
prod_016,Mật ong nguyên chất,do-an,320000,199000,https://via.placeholder.com/300?text=Mat+Ong,https://shopee.vn/product/016,6780,n1,Mật ong nguyên chất 100%,Food Master
prod_017,Sách Sapiens,sach-vo,280000,149000,https://via.placeholder.com/300?text=Sach+Sapiens,https://shopee.vn/product/017,3450,n2,Sách nổi tiếng thế giới,Book World
prod_018,Sách Dạo quanh thế giới,sach-vo,350000,189000,https://via.placeholder.com/300?text=Sach+Dao+Quanh,https://shopee.vn/product/018,2890,n2,Sách du lịch nổi tiếng,Book World
prod_019,Áo hoodie nam,thoi-trang,280000,129000,https://via.placeholder.com/300?text=Ao+Hoodie,https://shopee.vn/product/019,5678,n2,Áo hoodie ấm áp mặc thoải mái,Fashion Budget
prod_020,Váy đầm nữ,thoi-trang,420000,249000,https://via.placeholder.com/300?text=Vay+Dam,https://shopee.vn/product/020,4230,n2,Váy đầm sang trọng,Fashion Budget
prod_021,Tai nghe Bluetooth,dien-tu,1200000,649000,https://via.placeholder.com/300?text=Tai+Nghe+BT,https://shopee.vn/product/021,7890,n1,Tai nghe chống ồn,Tech Hub Vietnam
prod_022,Camera để bàn,dien-tu,2800000,1599000,https://via.placeholder.com/300?text=Camera+Ban,https://shopee.vn/product/022,3120,n1,Camera chất lượng 4K,Tech Hub Vietnam
prod_023,Nước tẩy trang Bioré,my-pham,180000,89000,https://via.placeholder.com/300?text=Nuoc+Tay+Trang,https://shopee.vn/product/023,9850,n1,Nước tẩy trang mạnh mẽ,Beauty Essentials
prod_024,Mặt nạ giấy Banobagi,my-pham,350000,189000,https://via.placeholder.com/300?text=Mat+Na+Giay,https://shopee.vn/product/024,7620,n1,Mặt nạ Hàn dưỡng da,Beauty Essentials
prod_025,Bàn học gấp gọn,nha-cua,2100000,999000,https://via.placeholder.com/300?text=Ban+Hoc+Gap,https://shopee.vn/product/025,4230,n2,Bàn học thông minh tiết kiệm không gian,Home Decor Plus
prod_026,Đèn trang trí LED,nha-cua,480000,249000,https://via.placeholder.com/300?text=Den+LED,https://shopee.vn/product/026,5890,n2,Đèn LED tiết kiệm điện,Home Decor Plus
prod_027,Thực phẩm bổ sung Collagen,suc-khoe,680000,379000,https://via.placeholder.com/300?text=Collagen,https://shopee.vn/product/027,11230,n1,Collagen làm đẹp da,Wellness Store
prod_028,Mặt nạ ngủ dưỡng ẩm,suc-khoe,280000,149000,https://via.placeholder.com/300?text=Mat+Na+Ngu,https://shopee.vn/product/028,8940,n2,Mặt nạ ngủ dưỡng sâu,Wellness Store
prod_029,Túi xách adidas,the-thao,950000,499000,https://via.placeholder.com/300?text=Tui+Adidas,https://shopee.vn/product/029,3210,n3,Túi xách thể thao Adidas,Outdoor Sports
prod_030,Vợt tennis Pro,the-thao,1800000,899000,https://via.placeholder.com/300?text=Vot+Tennis,https://shopee.vn/product/030,1230,n3,Vợt tennis chuyên nghiệp,Outdoor Sports
